country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.12,0.12,0.15,0.2,0.2,0.26,0.26,0.29,0.37,0.5,0.45,0.55,0.55,0.95,1.45,1.25,2.38,0.13,0.22,1.2,1.2,1.4,0.24,0.08,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05
Costa Rica,,,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.08,0.08,0.15,0.15,0.24,0.24,0.3,0.3,0.28,0.28,0.28,0.31,0.32,0.32,0.38,0.43,0.29,0.35,0.38,0.39,0.35,0.31,0.37,0.34,0.32,0.29,0.31,0.26,0.26,0.27,0.25
Cote d'Ivoire,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.13,0.11,0.11,0.11,0.09,0.09,0.1,0.11,0.11,0.11,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,0.34,0.09,0.09,0.07,0.06,0.06,0.08,0.06,0.06,0.05,0.05,0.05,0.05,0.05
Cyprus,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.06,0.04,0.05
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.09,0.11,0.12,0.15,0.1,0.05,0.05,0.05,0.03,0.02,0.03,0.02,0.03
Denmark,0.03,0.03,0.05,0.05,0.05,0.04,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.06,0.09,0.09,0.08,0.07,0.09,0.1,0.08,0.1,0.09,0.08,0.11,0.11,0.11,0.1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.1,0.1,0.06,0.05,0.04,0.03,0.04,0.04,0.03,0.05,0.03,0.03,0.02,0.02,0.02,0.04
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Ecuador,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.15,0.15,0.19,0.23,0.23,0.23,0.23,0.23,0.32,0.35,0.49,0.49,0.34,0.45,0.59,0.46,0.37,0.62,0.64,0.13,0.16,0.15,0.11,0.1,0.1,0.09
Egypt,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.09,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.2,0.18,0.17,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.08,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.07,0.07,0.11,0.16,0.14,0.19,0.13,0.1,0.09,0.11,0.12,0.12,0.13,0.12,0.11,0.12,0.15,0.17,0.16,0.18,0.12,0.11,0.1,0.14,0.08,0.08,0.07,0.09
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.05,0.12,0.12,0.12,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.08,0.11,0.11,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.03,0.08,0.02,0.02,0.02,0.02,0.03,0.05
Finland,0.07,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.07,0.07,0.08,0.09,0.09,0.09,0.1,0.06,0.05,0.05,0.04,0.04,0.04,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.1,0.1,0.1,0.1,0.15,0.2,0.21,0.19,0.15,0.17,0.16,0.18,0.14,0.14,0.14,0.14,0.14,0.12,0.11,0.1,0.13,0.18,0.29,0.28,0.14,0.09
Germany,0.05,0.04,0.06,0.06,0.05,0.04,0.03,0.04,0.05,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.05,0.03,0.03,0.06,0.06,0.04,0.05,0.07,0.06,0.04,0.04,0.03,0.03,0.06,0.08,0.08,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.06,0.06,0.08,0.08,0.06,0.05,0.03,0.03,0.03,0.03,,,,,,,,
Ghana,,,,,,,,,,,,,0.04,0.05,0.05,0.05,0.05,0.05,0.07,0.06,0.06,0.06,0.06,0.08,0.08,0.06,0.06,0.08,0.08,0.08,0.14,0.14,0.14,0.2,0.11,0.15,0.18,0.19,0.21,0.24,0.26,0.26,0.33,0.2,0.3,0.35,0.33,0.45,0.45,0.45,0.37,0.27,0.27,0.27,0.25,0.22,0.19,0.16,0.13
